record_id,status,QTP,QFN,QFP,qrs_se_percent,qrs_plus_p_percent,float_QTP,float_QFN,float_QFP,float_qrs_se_percent,float_qrs_plus_p_percent,fixed_QTP,fixed_QFN,fixed_QFP,fixed_qrs_se_percent,fixed_qrs_plus_p_percent,reference_count,float_output_count,fixed_output_count,max_mapping_error_ms,float_fixed_mismatch_count
data/183,evaluated,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,13,13,2.000000000000224,1
data/184,evaluated,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,0,2,100.0,81.81818181818183,9,11,11,2.000000000000668,0
data/185,evaluated,13,0,2,100.0,86.66666666666667,13,0,2,100.0,86.66666666666667,13,0,2,100.0,86.66666666666667,13,15,15,2.000000000000224,0
data/186,evaluated,11,0,1,100.0,91.66666666666666,11,0,2,100.0,84.61538461538461,11,0,1,100.0,91.66666666666666,11,13,12,2.000000000000668,2
data/187,evaluated,9,0,1,100.0,90.0,9,0,3,100.0,75.0,9,0,1,100.0,90.0,9,12,10,2.0000000000000018,12
data/188,evaluated,14,0,0,100.0,100.0,14,0,2,100.0,87.5,14,0,0,100.0,100.0,14,16,14,2.0000000000000018,16
data/189,evaluated,8,0,1,100.0,88.88888888888889,8,0,1,100.0,88.88888888888889,8,0,1,100.0,88.88888888888889,8,9,9,2.000000000000668,4
data/190,evaluated,12,0,1,100.0,92.3076923076923,12,0,3,100.0,80.0,12,0,1,100.0,92.3076923076923,12,15,13,2.000000000000224,15
data/191,evaluated,8,0,2,100.0,80.0,8,0,3,100.0,72.72727272727273,8,0,2,100.0,80.0,8,11,10,2.0000000000000018,11
data/192,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.000000000000668,3
data/193,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,2.000000000000668,11
data/194,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.0000000000000018,0
data/195,evaluated,9,0,1,100.0,90.0,9,0,3,100.0,75.0,9,0,1,100.0,90.0,9,12,10,2.000000000000668,12
data/196,evaluated,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,0,2,100.0,83.33333333333334,10,12,12,2.0000000000000018,0
data/197,evaluated,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,0,2,100.0,84.61538461538461,11,13,13,1.9999999999997797,0
data/198,evaluated,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,0,2,100.0,80.0,8,10,10,2.000000000000668,0
data/199,evaluated,8,0,1,100.0,88.88888888888889,8,0,2,100.0,80.0,8,0,1,100.0,88.88888888888889,8,10,9,2.000000000000224,10
data/200,evaluated,9,0,1,100.0,90.0,9,0,2,100.0,81.81818181818183,9,0,1,100.0,90.0,9,11,10,1.9999999999997797,11
